,train,test
0,62.16666666666667,61.5
1,68.95333333333333,68.41000000000001
2,85.34333333333333,84.6
3,80.43666666666667,79.45
4,90.57166666666666,89.44
5,76.79333333333334,76.67
6,83.19,81.85
7,85.155,83.86
8,88.86833333333334,88.03999999999999
9,89.375,88.0
10,89.16166666666666,87.46000000000001
11,88.21833333333333,86.53
12,92.145,90.3
13,90.69500000000001,88.94999999999999
14,93.22500000000001,91.03
15,92.66833333333334,90.25999999999999
16,86.16166666666668,85.08
17,86.59666666666666,85.42
18,84.16166666666666,83.26
19,88.885,87.96000000000001
20,89.345,88.13
21,90.19666666666667,88.55
22,91.56,89.72
23,92.49333333333334,90.42999999999999
24,91.55666666666666,89.67
25,91.55333333333333,89.5
26,92.825,90.75
27,91.64666666666666,89.1
28,93.08333333333333,90.78
29,86.45166666666667,85.72999999999999
30,87.50833333333333,86.53999999999999
31,90.52166666666666,89.11
32,91.67,90.13
33,91.79333333333334,89.92
34,91.17,89.42999999999999
35,93.49833333333333,91.2
36,90.47833333333334,88.94
37,91.945,90.11
38,79.27333333333333,77.59
39,87.995,86.64
40,91.045,89.49000000000001
41,92.31,90.53
42,93.04,91.06
43,93.25,91.13
44,93.77333333333333,91.19
45,94.255,91.56
46,93.89333333333333,91.08000000000001
47,94.71000000000001,91.64999999999999
48,91.69,89.58
49,94.44333333333333,91.44
